from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246108924610914+1839129+1,246108924610914+1838898+1,1,
33,33,,,246104624610563+1839138+1,246104624610563+1838904+1,1,
33,33,,,246109524611751+1839138+1,246109524611751+1838904+1,1,
33,33,,,246098324610002+1839141+1,246098324610002+1838904+1,1,
33,33,,,246104624610564+1839141+1,246104624610564+1838904+1,1,
33,33,,,246101124610281+1839145+1,246101124610281+1838907+1,1,
33,33,,,246104624610562+1839145+1,246104624610562+1838907+1,1,
33,33,,,246104624610564+1839145+1,246104624610564+1838907+1,1,
33,33,,,246108924610912+1839145+1,246108924610912+1838907+1,1,
33,33,,,246103224610413+1839147+1,246103224610343+1838909+1,1,
33,33,,,246103224610412+1839147+1,246103924610402+1838909+1,1,
33,33,,,246106124610632+1839151+1,246106124610632+1838919+1,1,
33,33,,,246106124610633+1839151+1,246106124610633+1838919+1,1,
33,33,,,246108924610913+1839151+1,246108924610913+1838919+1,1,
33,33,,,246098324610002+1839157+1,246098324610002+1838925+1,1,
33,33,,,246100424610051+1839157+1,246100424610051+1838925+1,1,
33,33,,,246106724610844+1839157+1,246106724610844+1838925+1,1,
33,33,,,246098724610015+1839158+1,246098724610015+1838926+1,1,
33,33,,,246101524611765+1839158+1,246105024611765+1838926+1,1,
33,33,,,246103224610412+1839159+1,246103224610412+1838927+1,1,
33,33,,,246103224610413+1839159+1,246103224610413+1838927+1,1,
33,33,,,246104624610563+1839163+0,246104624610563+1837073+0,1,
33,33,,,246106124610633+1839163+0,246106124610633+1837073+0,1,
33,33,,,246108924610913+1839163+0,246108924610913+1837073+0,1,
33,33,,,246100624610063+1839364+0,246100624610063+1839002+0,1,
33,33,,,246104624610562+1839453+0,246104624610562+1839006+0,1,
33,33,,,246104624610563+1839453+0,246104624610563+1839006+0,1,
33,33,,,246100424610051+1839507+0,246100424610051+1839012+0,1,
33,33,,,246101124610284+1839507+0,246101124610284+1839012+0,1,
33,33,,,246106724610841+1839507+0,246106724610841+1839012+0,1,
33,33,,,246109524611752+1839507+0,246109524611752+1839012+0,1,
33,33,,,246103224610413+1839509+0,246103224610413+1839014+0,1,
33,33,,,246098324610004+1839523+0,246098324610004+1839015+0,1,
33,33,,,246101124610281+1839523+0,246101124610281+1839015+0,1,
33,33,,,246101124610284+1839523+0,246101124610284+1839015+0,1,
33,33,,,246106124610633+1839523+0,246106124610633+1839015+0,1,
33,33,,,246106724610841+1839523+0,246106724610841+1839015+0,1,
33,33,,,246108924610913+1839523+0,246108924610913+1839015+0,1,
33,33,,,246109524611754+1839523+0,246109524611754+1839015+0,1,
33,33,,,246103224610413+1839525+0,246103224610413+1839017+0,1,
33,33,,,246100724610096+1839533+0,246100724610096+1839222+0,1,
33,33,,,246110024611776+1839533+0,246110024611776+1839222+0,1,
33,33,,,246100724610096+1839545+0,246100724610096+1839239+0,1,
33,33,,,246103924610401+1839165+0,246103224610411+1837075+0,1,
33,33,,,246106724610843+1839166+0,246106724610843+1838936+0,1,
33,33,,,246109524611752+1839166+0,246109524611752+1838936+0,1,
33,33,,,246101124610283+1839175+0,246101124610283+1838945+0,1,
33,33,,,246100624610063+1839177+0,246100624610063+1838947+0,1,
33,33,,,246098324610001+1839184+0,246098324610001+1838951+0,1,
33,33,,,246100424610052+1839184+0,246100424610052+1838951+0,1,
33,33,,,246104624610561+1839184+0,246104624610561+1838951+0,1,
33,33,,,246104624610564+1839184+0,246104624610564+1838951+0,1,
33,33,,,246106724610843+1839184+0,246106724610843+1838951+0,1,
33,33,,,246108924610913+1839184+0,246108924610913+1838951+0,1,
33,33,,,246109524611754+1839184+0,246109524611754+1838951+0,1,
33,33,,,246101524611765+1839185+0,246101524611765+1838952+0,1,
33,33,,,246100624610063+1839186+0,246100624610063+1838953+0,1,
33,33,,,246103224610411+1839186+0,246103224610411+1838953+0,1,
33,33,,,246103224610413+1839186+0,246103224610413+1838953+0,1,
33,33,,,246101124610282+1839193+0,246101124610282+1838960+0,1,
33,33,,,246104624610562+1839193+0,246104624610562+1838960+0,1,
33,33,,,246106124610633+1839193+0,246106124610633+1838960+0,1,
33,33,,,246101124610281+1839196+0,246101124610281+1838968+0,1,
33,33,,,246104624610561+1839196+0,246104624610561+1838968+0,1,
33,33,,,246108924610914+1839196+0,246108924610914+1838968+0,1,
33,33,,,246098724610015+1839197+0,246098724610015+1838969+0,1,
33,33,,,246098324610001+1839204+0,246098324610001+1838977+0,1,
33,33,,,246098324610002+1839204+0,246098324610002+1838977+0,1,
33,33,,,246101124610281+1839204+0,246101124610281+1838977+0,1,
33,33,,,246101124610284+1839204+0,246101124610284+1838977+0,1,
33,33,,,246108924610912+1839204+0,246108924610912+1838977+0,1,
33,33,,,246109524611751+1839204+0,246109524611751+1838977+0,1,
33,33,,,246098324610004+1839210+0,246098324610004+1838990+0,1,
33,33,,,246101124610284+1839210+0,246101124610284+1838990+0,1,
33,33,,,246106124610632+1839210+0,246106124610632+1838990+0,1,
33,33,,,246098324610003+1839075+0,246098324610003+1838827+1,1,
33,33,,,246098324610004+1839075+0,246098324610004+1838827+1,1,
33,33,,,246100424610051+1839075+0,246100424610051+1838827+1,1,
33,33,,,246101124610281+1839075+0,246101124610281+1838827+1,1,
33,33,,,246104624610563+1839075+0,246104624610563+1838827+1,1,
33,33,,,246106724610844+1839075+0,246106724610844+1838827+1,1,
33,33,,,246099524610026+1839557+0,246099524610026+1839251+0,1,
33,33,,,246110024611776+1839557+0,246110024611776+1839251+0,1,
33,33,,,246101124610281+1839571+0,246101124610281+1839021+0,1,
33,33,,,246104624610562+1839571+0,246104624610562+1839021+0,1,
33,33,,,246104624610564+1839571+0,246104624610564+1839021+0,1,
33,33,,,246106724610843+1839571+0,246106724610843+1839021+0,1,
33,33,,,246108924610914+1839571+0,246108924610914+1839021+0,1,
33,33,,,246101524611765+1839572+0,246101524611765+1839022+0,1,
33,33,,,246100624610063+1839573+0,246100624610063+1839023+0,1,
33,33,,,246100724610094+1839589+0,246100724610094+1839292+0,1,
33,33,,,246107224610866+1839589+0,246107224610866+1839292+0,1,
33,33,,,246100724610094+1839604+0,246100724610094+1839310+0,1,
33,33,,,246103524610446+1839604+0,246103524610446+1839310+0,1,
33,33,,,246106024610656+1839604+0,246106024610656+1839310+0,1,
33,33,,,246101624610306+1839618+0,246101624610306+1839328+0,1,
33,33,,,246098824609886+1839627+0,246098124609886+1839344+0,1,
33,33,,,246103524610446+1839628+0,246103524610446+1839346+0,1,
33,33,,,246110024611776+1839628+0,246110024611776+1839346+0,1,
33,33,,,246100724610094+1839637+0,246100724610094+1839367+0,1,
33,33,,,246105124610586+1839647+0,246105124610586+1839383+0,1,
33,33,,,246098824609886+1839665+0,246098124609886+1839397+0,1,
33,33,,,246105124610586+1839666+0,246105124610586+1839399+0,1,
33,33,,,246099624611717+1839667+0,246099624611717+1839400+0,1,
33,33,,,246098824609886+1839680+0,246098124609886+1839417+0,1,
33,33,,,246103524610444+1839681+0,246103524610444+1839419+0,1,
33,33,,,246108824610936+1839681+0,246108824610936+1839419+0,1,
33,33,,,246099524610026+1839691+0,246099524610026+1839437+0,1,
33,33,,,246100724610095+1839691+0,246100724610095+1839437+0,1,
33,33,,,246101624610306+1839691+0,246101624610306+1839437+0,1,
33,33,,,246107224610866+1839691+0,246107224610866+1839437+0,1,
33,33,,,246108824610936+1839691+0,246108824610936+1839437+0,1,
33,33,,,246098324610002+1839697+0,246098324610002+1839031+0,1,
33,33,,,246104624610562+1839697+0,246104624610562+1839031+0,1,
33,33,,,246106724610844+1839697+0,246106724610844+1839031+0,1,
33,33,,,246108924610913+1839697+0,246108924610913+1839031+0,1,
33,33,,,246099624611717+1839704+0,246099624611717+1839459+0,1,
33,33,,,246103524610446+1839719+0,246103524610446+1839486+0,1,
33,33,,,246108824610931+1839719+0,246108824610931+1839486+0,1,
33,33,,,246101624610306+1839730+0,246101624610306+1839501+0,1,
33,33,,,246106024610651+1839730+0,246106024610651+1839501+0,1,
33,33,,,246107224610866+1839730+0,246107224610866+1839501+0,1,
33,33,,,246099524610026+1839734+0,246099524610026+1839505+0,1,
33,33,,,246098324610003+1839744+0,246098324610003+1839041+0,1,
33,33,,,246098324610004+1839744+0,246098324610004+1839041+0,1,
33,33,,,246104624610563+1839744+0,246104624610563+1839041+0,1,
33,33,,,246106124610634+1839744+0,246106124610634+1839041+0,1,
33,33,,,246106724610842+1839744+0,246106724610842+1839041+0,1,
33,33,,,246098724610015+1839745+0,246098724610015+1839042+0,1,
33,33,,,246109524611753+1839750+0,246109524611753+1839048+0,1,
33,33,,,246098324610004+1839750+0,246098324610004+1839048+0,1,
33,33,,,246101124610282+1839750+0,246101124610282+1839048+0,1,
33,33,,,246101124610283+1839753+0,246101124610283+1839055+0,1,
33,33,,,246104624610564+1839753+0,246104624610564+1839055+0,1,
33,33,,,246109524611752+1839753+0,246109524611752+1839055+0,1,
33,33,,,246098724610015+1839754+0,246098724610015+1839056+0,1,
33,33,,,246103224610411+1839755+0,246103224610411+1839057+0,1,
33,33,,,246098324610001+1839759+0,246098324610001+1839061+0,1,
33,33,,,246101124610283+1839759+0,246101124610283+1839061+0,1,
33,33,,,246104624610563+1839759+0,246104624610563+1839061+0,1,
33,33,,,246106124610633+1839759+0,246106124610633+1839061+0,1,
33,33,,,246109524611752+1839759+0,246109524611752+1839061+0,1,
33,33,,,246103224610412+1839761+0,246103224610412+1839063+0,1,
33,33,,,246103224610413+1839077+0,246103224610413+1838829+1,1,
33,33,,,246098324610004+1839086+1,246098324610004+1838846+1,1,
33,33,,,246101124610283+1839086+1,246101124610283+1838846+1,1,
33,33,,,246108924610912+1839086+1,246108924610912+1838846+1,1,
33,33,,,246103224610411+1839088+1,246103224610411+1838848+1,1,
33,33,,,246098324610001+1839097+1,246098324610001+1838852+1,1,
33,33,,,246100424610051+1839097+1,246100424610051+1838852+1,1,
33,33,,,246106724610844+1839097+1,246106724610844+1838852+1,1,
33,33,,,246104624610564+1839097+1,246104624610564+1838852+1,1,
33,33,,,246108924610912+1839097+1,246108924610912+1838852+1,1,
33,33,,,246098324610003+1839097+1,246098324610003+1838858+1,1,
33,33,,,246106724610843+1839097+1,246106724610843+1838858+1,1,
33,33,,,246104624610563+1839097+1,246104624610563+1838858+1,1,
33,33,,,246100624610063+1839099+1,246100624610063+1838860+1,1,
33,33,,,246101124610281+1839105+1,246101124610281+1838865+1,1,
33,33,,,246104624610561+1839105+1,246104624610561+1838865+1,1,
33,33,,,246104624610564+1839105+1,246104624610564+1838865+1,1,
33,33,,,246098724610015+1839106+1,246098724610015+1838866+1,1,
33,33,,,246103224610412+1839107+1,246103924610402+1838867+1,1,
33,33,,,246101124610284+1839109+1,246101124610284+1838886+1,1,
33,33,,,246104624610561+1839109+1,246104624610561+1838886+1,1,
33,33,,,246109524611754+1839109+1,246109524611754+1838886+1,1,
33,33,,,246104624610561+1839129+1,246104624610561+1838898+1,1,
33,33,,,246104624610562+1839129+1,246104624610562+1838898+1,1,
33,33,,,246106724610843+1839129+1,246106724610843+1838898+1,1,
33,33,,,246103224610411+1839131+1,246103224610411+1838900+1,1,
33,33,,,246098324610004+1839138+1,246098324610004+1838904+1,1,
33,33,,,246101124610282+1839138+1,246101124610282+1838904+1,1,
33,33,,,246104624610562+1839138+1,246104624610562+1838904+1,1,
33,33,,,246104624610564+1839138+1,246104624610564+1838904+1,1,
33,33,,,246108924610914+1839138+1,246108924610914+1838904+1,1,
33,33,,,246103224610412+1839140+1,246103224610342+1838906+1,1,
33,33,,,246101124610283+1839141+1,246101124610283+1838904+1,1,
33,33,,,246106124610633+1839141+1,246106124610633+1838904+1,1,
33,33,,,246108924610912+1839141+1,246108924610912+1838904+1,1,
33,33,,,246101124610283+1839145+1,246101124610283+1838907+1,1,
33,33,,,246106724610843+1839145+1,246106724610843+1838907+1,1,
33,33,,,246104624610563+1839151+1,246104624610563+1838919+1,1,
33,33,,,246106724610843+1839151+1,246106724610843+1838919+1,1,
33,33,,,246109524611752+1839151+1,246109524611752+1838919+1,1,
33,33,,,246109524611753+1839151+1,246109524611753+1838919+1,1,
33,33,,,246108924610914+1839157+1,246108924610914+1838925+1,1,
33,33,,,246101524611765+1839158+1,246101524610295+1838926+1,1,
33,33,,,246104624610564+1839163+0,246104624610564+1837073+0,1,
33,33,,,246106724610842+1839163+0,246106724610842+1837073+0,1,
33,33,,,246098324610003+1839362+0,246098324610003+1839000+0,1,
33,33,,,246098324610001+1839453+0,246098324610001+1839006+0,1,
33,33,,,246101124610281+1839453+0,246101124610281+1839006+0,1,
33,33,,,246104624610564+1839453+0,246104624610564+1839006+0,1,
33,33,,,246106124610632+1839453+0,246106124610632+1839006+0,1,
33,33,,,246098324610002+1839507+0,246098324610002+1839012+0,1,
33,33,,,246098324610003+1839523+0,246098324610003+1839015+0,1,
33,33,,,246104624610562+1839523+0,246104624610562+1839015+0,1,
33,33,,,246106724610844+1839523+0,246106724610844+1839015+0,1,
33,33,,,246098724610015+1839524+0,246098724610015+1839016+0,1,
33,33,,,246098124609886+1839531+0,246098124609886+1839221+0,1,
33,33,,,246100724610094+1839533+0,246100724610094+1839222+0,1,
33,33,,,246101624610306+1839533+0,246101624610586+1839222+0,1,
33,33,,,246106024610656+1839533+0,246106024610656+1839222+0,1,
33,33,,,246098124609886+1839543+0,246098124609886+1839237+0,1,
33,33,,,246106024610656+1839545+0,246106024610656+1839239+0,1,
33,33,,,246100624610063+1839165+0,246100624610063+1837075+0,1,
33,33,,,246106124610632+1839166+0,246106124610632+1838936+0,1,
33,33,,,246106724610842+1839166+0,246106724610842+1838936+0,1,
33,33,,,246108924610913+1839166+0,246108924610913+1838936+0,1,
33,33,,,246104624610563+1839175+0,246104624610563+1838945+0,1,
33,33,,,246108924610913+1839175+0,246108924610913+1838945+0,1,
33,33,,,246108924610914+1839175+0,246108924610914+1838945+0,1,
33,33,,,246109524611754+1839175+0,246109524611754+1838945+0,1,
33,33,,,246106724610844+1839184+0,246106724610844+1838951+0,1,
33,33,,,246098324610004+1839193+0,246098324610004+1838960+0,1,
33,33,,,246101124610283+1839193+0,246101124610283+1838960+0,1,
33,33,,,246101124610284+1839193+0,246101124610284+1838960+0,1,
33,33,,,246101524611765+1839194+0,246101524611765+1838961+0,1,
33,33,,,246098324610003+1839196+0,246098324610003+1838968+0,1,
33,33,,,246100424610052+1839196+0,246100424610052+1838968+0,1,
33,33,,,246104624610563+1839196+0,246104624610563+1838968+0,1,
33,33,,,246108924610913+1839196+0,246108924610913+1838968+0,1,
33,33,,,246106124610634+1839204+0,246106124610634+1838977+0,1,
33,33,,,246108924610913+1839204+0,246108924610913+1838977+0,1,
33,33,,,246109524611752+1839204+0,246109524611752+1838977+0,1,
33,33,,,246098724610015+1839205+0,246098724610015+1838978+0,1,
33,33,,,246103224610413+1839206+0,246103224610413+1838979+0,1,
33,33,,,246100424610051+1839210+0,246100424610051+1838990+0,1,
33,33,,,246101124610281+1839210+0,246101124610281+1838990+0,1,
33,33,,,246108924610914+1839210+0,246108924610914+1838990+0,1,
33,33,,,246109524611751+1839210+0,246109524611751+1838990+0,1,
33,33,,,246103224610412+1839212+0,246103224610412+1838992+0,1,
