from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246106024610656+1826816+0,246106024610656+1826504+0,1,
33,33,,,246108824610931+1826816+0,246108824610931+1826504+0,1,
33,33,,,246107224610866+1826828+0,246107224610866+1826521+0,1,
33,33,,,246110024611776+1826828+0,246110024611776+1826521+0,1,
33,33,,,246100724610095+1826840+0,246100724610095+1826533+0,1,
33,33,,,246101624610306+1826840+0,246101624610306+1826533+0,1,
33,33,,,246103524610446+1826840+0,246103524610446+1826533+0,1,
33,33,,,246108824610931+1826840+0,246108824610931+1826533+0,1,
33,33,,,246099524610026+1826848+0,246099524610026+1826546+0,1,
33,33,,,246100724610096+1826848+0,246100724610096+1826546+0,1,
33,33,,,246097624610001+1826855+0,246097624610001+1826304+0,1,
33,33,,,246106724610842+1826855+0,246106724610842+1826304+0,1,
33,33,,,246103224610413+1826856+0,246103224610413+1826305+0,1,
33,33,,,246097424609886+1826868+0,246097424609746+1828007+0,1,
33,33,,,246100724610096+1826870+0,246100724610096+1828010+0,1,
33,33,,,246103524610446+1826870+0,246103524610446+1828010+0,1,
33,33,,,246106024610651+1826870+0,246106024610651+1828010+0,1,
33,33,,,246106024610656+1826870+0,246106024610656+1828010+0,1,
33,33,,,246108824610936+1826870+0,246108824610936+1828010+0,1,
33,33,,,246101624610306+1826885+0,246101624610306+1826592+0,1,
33,33,,,246107224610866+1826885+0,246107224610866+1826592+0,1,
33,33,,,246108824610936+1826885+0,246108824610936+1826592+0,1,
33,33,,,246101624610306+1826899+0,246101624610306+1826610+0,1,
33,33,,,246098824609886+1826906+0,246097424609886+1826626+0,1,
33,33,,,246098124609816+1826908+0,246097424609886+1826626+0,1,
33,33,,,246100724610094+1826909+0,246100724610094+1826628+0,1,
33,33,,,246103524610444+1826909+0,246103524610444+1826628+0,1,
33,33,,,246107224610866+1826909+0,246107224610866+1826628+0,1,
33,33,,,246108824610931+1826909+0,246108824610931+1826628+0,1,
33,33,,,246097424609746+1826915+0,246097424609886+1826647+0,1,
33,33,,,246105124610586+1826918+0,246105124610586+1826649+0,1,
33,33,,,246099624611717+1826919+0,246099624611717+1826650+0,1,
33,33,,,246101624610306+1826928+0,246101624610306+1826666+0,1,
33,33,,,246099624611717+1826929+0,246099624611717+1826667+0,1,
33,33,,,246098824609886+1826944+0,246098124609886+1828030+0,1,
33,33,,,246103524610444+1826947+0,246103524610444+1828031+0,1,
33,33,,,246110024611776+1826947+0,246110024611776+1828031+0,1,
33,33,,,246100724610094+1826962+0,246100724610094+1826702+0,1,
33,33,,,246100724610096+1826962+0,246100724610096+1826702+0,1,
33,33,,,246106024610651+1826962+0,246106024610651+1826702+0,1,
33,33,,,246108824610936+1826962+0,246108824610936+1826702+0,1,
33,33,,,246100424610052+1826979+0,246100424610052+1826314+0,1,
33,33,,,246101124610282+1826979+0,246101124610282+1826314+0,1,
33,33,,,246106124610634+1826979+0,246106124610634+1826314+0,1,
33,33,,,246108924610913+1826979+0,246108924610913+1826314+0,1,
33,33,,,246103224610412+1826980+0,246103924610402+1826315+0,1,
33,33,,,246097524609897+1826982+0,246097524609897+1826741+0,1,
33,33,,,246100724610096+1826984+0,246100724610096+1826742+0,1,
33,33,,,246101624610306+1826984+0,246101624610306+1826742+0,1,
33,33,,,246103524610446+1826984+0,246103524610446+1826742+0,1,
33,33,,,246106024610651+1826992+0,246106024610651+1826758+0,1,
33,33,,,246100724610095+1827000+0,246100724610095+1826770+0,1,
33,33,,,246108824610936+1827000+0,246108824610936+1826770+0,1,
33,33,,,246110024611776+1827000+0,246110024611776+1826770+0,1,
33,33,,,246097524609897+1827010+0,246097524609897+1826784+0,1,
33,33,,,246100724610095+1827015+0,246100724610095+1826789+0,1,
33,33,,,246105124610586+1827015+0,246105124610586+1826789+0,1,
33,33,,,246106024610651+1827015+0,246106024610651+1826789+0,1,
33,33,,,246108824610936+1827015+0,246108824610936+1826789+0,1,
33,33,,,246097624610001+1827026+0,246097624610001+1826324+0,1,
33,33,,,246100424610052+1827026+0,246100424610052+1826324+0,1,
33,33,,,246101124610281+1827026+0,246101124610281+1826324+0,1,
33,33,,,246106124610634+1827026+0,246106124610634+1826324+0,1,
33,33,,,246108924610912+1827026+0,246108924610912+1826324+0,1,
33,33,,,246109524611752+1827026+0,246109524611752+1826324+0,1,
33,33,,,246109524611753+1827026+0,246109524611753+1826324+0,1,
33,33,,,246104624610564+1827032+0,246104624610564+1826331+0,1,
33,33,,,246106724610841+1827032+0,246106724610841+1826331+0,1,
33,33,,,246109524611752+1827032+0,246109524611752+1826331+0,1,
33,33,,,246108924610912+1827035+0,246108924610912+1826338+0,1,
33,33,,,246104624610561+1827035+0,246104624610561+1826338+0,1,
33,33,,,246106124610632+1827035+0,246106124610632+1826338+0,1,
33,33,,,246106724610842+1827035+0,246106724610842+1826338+0,1,
33,33,,,246100624610063+1827036+0,246100624610063+1826339+0,1,
